User ID,New Listings,Renewals,Ads Bought,Listing Revenue,Promo Revenues,Total Revenue,Segments
33028367,334,533,858,3091.0,56858.93000000001,59949.93,Top Revenue
32620437,17,419,432,8017.9800000000005,40269.5,48287.479999999996,Top Revenue
12671956,2146,43088,44520,33060.85,-3453.13,29607.72,Top Revenue
54226,14,514,485,1309.3500000000001,13233.559999999998,14542.91,Top Revenue
16883010,2553,18526,20670,13415.269999999999,0.0,13415.269999999999,Top Revenue
13348914,112,3089,3093,6172.18,6523.43,12695.61,Top Revenue
33785525,71,204,259,7162.41,5027.300000000001,12189.71,Top Revenue
12697860,69,80,139,3921.0299999999997,8243.199999999999,12164.229999999998,Top Revenue
4837015,577,28780,28192,14107.050000000001,-2671.05,11436.0,Top Revenue
10504776,5,550,521,6161.42,5077.89,11239.309999999998,Top Revenue
3938803,246,935,1153,9928.8,1066.07,10994.869999999999,Top Revenue
37658299,122,108,208,5897.280000000001,4663.469999999999,10560.75,Top Revenue
1956760,308,12,162,3640.08,6856.75,10496.83,Top Revenue
57394637,579,10545,10980,11198.619999999999,-1062.07,10136.55,Top Revenue
3943069,7,276,203,1299.19,8700.43,9999.62,Top Revenue
12910312,502,9652,10112,9894.41,0.0,9894.41,Top Revenue
13211502,201,7369,7417,8600.09,692.4300000000001,9292.52,Top Revenue
4915731,74,1691,1719,1931.8,6741.09,8672.89,Top Revenue
17710454,1632,10254,11745,9601.419999999998,-1088.2,8513.220000000001,Top Revenue
5957225,681,7287,7849,5917.06,2511.38,8428.44,Top Revenue
1671666,511,9347,9813,8343.63,-97.68,8245.949999999999,Top Revenue
721283,333,9038,9278,8276.51,-437.47,7839.04,Top Revenue
8967513,609,2231,2668,3727.96,3593.25,7321.21,Top Revenue
2237288,253,6935,7141,7273.29,0.0,7273.29,Top Revenue
12663402,502,6523,6982,6530.74,670.96,7201.7,Top Revenue
63618517,296,0,0,0.0,7095.57,7095.57,Top Revenue
17227942,1,136,114,2922.57,4013.2999999999997,6935.87,Top Revenue
35931983,354,4,356,7537.42,-636.43,6900.99,Top Revenue
21348316,11,28,26,5358.099999999999,1469.17,6827.27,Top Revenue
7023277,180,2942,1896,2776.02,3929.87,6705.889999999999,Top Revenue
118964,82,122,92,2347.1099999999997,4292.28,6639.389999999999,Top Revenue
20953632,236,3679,3875,4373.76,2015.34,6389.1,Top Revenue
105039683,59,31,47,1286.2,5040.0,6326.2,Top Revenue
386837,29,122,107,2433.21,3749.4700000000003,6182.68,Top Revenue
31573555,90,37,66,1741.8300000000002,4300.4800000000005,6042.3099999999995,Top Revenue
2376191,192,16,204,2893.95,3046.31,5940.26,Top Revenue
18273364,16,79,89,1113.8500000000001,4788.629999999999,5902.48,Top Revenue
7908315,68,871,891,2429.76,3463.8599999999997,5893.620000000001,Top Revenue
19531436,255,7249,7393,6069.09,-217.8,5851.289999999999,Top Revenue
239367,39,23,43,1205.47,4634.4,5839.87,Top Revenue
4724633,71,61,124,3461.89,2309.97,5771.86,Top Revenue
25410179,296,6115,6378,5770.429999999999,0.0,5770.429999999999,Top Revenue
8795041,29,45,63,975.51,4786.07,5761.58,Top Revenue
57622983,65,149,191,5388.02,88.88,5476.900000000001,Top Revenue
1803174,49,969,873,4187.25,1278.8700000000001,5466.12,Top Revenue
2496423,24,226,211,2167.31,3277.06,5444.37,Top Revenue
27539495,66,31,80,2327.5299999999997,3085.32,5412.85,Top Revenue
16106756,88,3217,3221,4754.79,640.58,5395.369999999999,Top Revenue
19077544,52,69,102,2815.0,2559.7300000000005,5374.7300000000005,Top Revenue
1082464,24,561,446,4408.28,871.2699999999999,5279.549999999999,Top Revenue
32777821,50,13,49,1367.3700000000001,3873.38,5240.75,Top Revenue
11282898,38,35,68,1997.1000000000001,3214.6800000000003,5211.78,Top Revenue
22899172,44,8893,8899,5061.070000000001,139.11,5200.18,Top Revenue
1717330,0,85,65,1006.93,4062.6,5069.53,Top Revenue
2453295,62,809,830,1463.5099999999998,3599.06,5062.57,Top Revenue
5639613,675,4011,4645,4472.46,461.84000000000003,4934.3,Top Revenue
2953503,15,113,69,971.44,3962.37,4933.8099999999995,Top Revenue
3516973,600,3041,3605,3732.7200000000003,1109.4,4842.12,Top Revenue
6340423,33,122,144,1913.5700000000002,2923.9900000000002,4837.5599999999995,Top Revenue
